Growth_phase,Strain,Area_px,Area
earlylog,cdrL,116.5,2.071111111
earlylog,cdrL,429.25,7.631111111
earlylog,cdrL,1124.625,19.99333333
earlylog,cdrL,1143.25,20.32444444
earlylog,cdrL,761.625,13.54
earlylog,cdrL,354.25,6.297777778
earlylog,cdrL,241.625,4.295555556
earlylog,cdrL,375.5,6.675555556
earlylog,cdrL,121.375,2.157777778
earlylog,cdrL,1098.5,19.52888889
earlylog,cdrL,674.625,11.99333333
earlylog,cdrL,287.5,5.111111111
earlylog,cdrL,184.875,3.286666667
earlylog,cdrL,384.5,6.835555556
earlylog,cdrL,248.75,4.422222222
earlylog,cdrL,1156.125,20.55333333
earlylog,cdrL,625.75,11.12444444
earlylog,cdrL,662.375,11.77555556
earlylog,cdrL,153.625,2.731111111
earlylog,cdrL,316.5,5.626666667
earlylog,cdrL,182.125,3.237777778
earlylog,cdrL,358.875,6.38
earlylog,cdrL,345.125,6.135555556
earlylog,cdrL,1094.5,19.45777778
earlylog,cdrL,253.375,4.504444444
earlylog,cdrL,236.5,4.204444444
earlylog,cdrL,903.125,16.05555556
earlylog,cdrL,814.25,14.47555556
earlylog,cdrL,135,2.4
earlylog,cdrL,108.25,1.924444444
earlylog,cdrL,180.875,3.215555556
earlylog,cdrL,607.875,10.80666667
earlylog,cdrL,293.25,5.213333333
earlylog,cdrL,2417.25,42.97333333
earlylog,cdrL,505.5,8.986666667
earlylog,cdrL,218.375,3.882222222
earlylog,cdrL,478.625,8.508888889
earlylog,cdrL,329.875,5.864444444
earlylog,cdrL,355.125,6.313333333
earlylog,cdrL,251.25,4.466666667
earlylog,cdrL,160.375,2.851111111
earlylog,cdrL,132.625,2.357777778
earlylog,cdrL,211.125,3.753333333
earlylog,cdrL,206.375,3.668888889
earlylog,cdrL,146.125,2.597777778
earlylog,cdrL,452.75,8.048888889
earlylog,cdrL,546.75,9.72
earlylog,cdrL,692.25,12.30666667
earlylog,cdrL,319.875,5.686666667
earlylog,cdrL,131.375,2.335555556
earlylog,cdrL,195.75,3.48
earlylog,cdrL,624.125,11.09555556
earlylog,cdrL,242.25,4.306666667
earlylog,cdrL,1982.375,35.24222222
earlylog,cdrL,1146.125,20.37555556
earlylog,cdrL,352,6.257777778
earlylog,cdrL,360,6.4
earlylog,cdrL,1188,21.12
earlylog,cdrL,366.375,6.513333333
earlylog,cdrL,329.625,5.86
earlylog,cdrL,172.25,3.062222222
earlylog,cdrL,256.125,4.553333333
earlylog,cdrL,182.875,3.251111111
earlylog,cdrL,1137.25,20.21777778
earlylog,cdrL,144.375,2.566666667
earlylog,cdrL,311.125,5.531111111
earlylog,cdrL,1587.875,28.22888889
earlylog,cdrL,330.25,5.871111111
earlylog,cdrL,2767.625,49.20222222
earlylog,cdrL,154.875,2.753333333
earlylog,cdrL,1212.5,21.55555556
earlylog,cdrL,418.625,7.442222222
earlylog,cdrL,1238.625,22.02
earlylog,cdrL,430.5,7.653333333
earlylog,cdrL,133.25,2.368888889
earlylog,cdrL,198.875,3.535555556
earlylog,cdrL,166,2.951111111
earlylog,cdrL,126.75,2.253333333
earlylog,cdrL,656.125,11.66444444
earlylog,cdrL,657,11.68
earlylog,cdrL,341.5,6.071111111
earlylog,cdrL,449.625,7.993333333
earlylog,cdrL,520.875,9.26
earlylog,cdrL,871.25,15.48888889
earlylog,cdrL,202.125,3.593333333
earlylog,cdrL,185.625,3.3
earlylog,cdrL,108,1.92
earlylog,cdrL,205.625,3.655555556
earlylog,cdrL,850.875,15.12666667
earlylog,cdrL,407.625,7.246666667
earlylog,cdrL,332.875,5.917777778
earlylog,cdrL,261.5,4.648888889
earlylog,cdrL,781.25,13.88888889
earlylog,cdrL,236.625,4.206666667
earlylog,cdrL,244.375,4.344444444
earlylog,cdrL,193.5,3.44
earlylog,cdrL,353.375,6.282222222
earlylog,cdrL,259.125,4.606666667
earlylog,cdrL,425.25,7.56
earlylog,cdrL,243.125,4.322222222
earlylog,cdrL,408.25,7.257777778
earlylog,cdrL,157.5,2.8
earlylog,cdrL,436.75,7.764444444
earlylog,cdrL,991.5,17.62666667
earlylog,cdrL,486.125,8.642222222
earlylog,cdrL,1770.625,31.47777778
earlylog,cdrL,553.25,9.835555556
earlylog,cdrL,360.375,6.406666667
earlylog,cdrL,345.375,6.14
earlylog,cdrL,593.75,10.55555556
earlylog,cdrL,185.125,3.291111111
earlylog,cdrL,160.625,2.855555556
earlylog,cdrL,501.125,8.908888889
earlylog,cdrL,523.5,9.306666667
earlylog,cdrL,261.75,4.653333333
earlylog,cdrL,387.375,6.886666667
earlylog,cdrL,214.625,3.815555556
earlylog,cdrL,244.625,4.348888889
earlylog,cdrL,2742.125,48.74888889
earlylog,cdrL,761.25,13.53333333
earlylog,cdrL,152.375,2.708888889
earlylog,cdrL,506.625,9.006666667
earlylog,cdrL,264.75,4.706666667
earlylog,cdrL,1373.75,24.42222222
earlylog,cdrL,299,5.315555556
earlylog,cdrL,224.625,3.993333333
earlylog,cdrL,1530.25,27.20444444
earlylog,cdrL,152.625,2.713333333
earlylog,cdrL,310,5.511111111
earlylog,cdrL,153.75,2.733333333
earlylog,cdrL,2951.5,52.47111111
earlylog,cdrL,170.125,3.024444444
earlylog,cdrL,113.875,2.024444444
earlylog,cdrL,636.125,11.30888889
earlylog,cdrL,782.625,13.91333333
earlylog,cdrL,1371.875,24.38888889
earlylog,cdrL,523.875,9.313333333
earlylog,cdrL,629.375,11.18888889
earlylog,cdrL,892.75,15.87111111
earlylog,cdrL,114.875,2.042222222
earlylog,cdrL,167.625,2.98
earlylog,cdrL,2102,37.36888889
earlylog,cdrL,390.625,6.944444444
earlylog,cdrL,1203.75,21.4
earlylog,cdrL,1945.375,34.58444444
earlylog,cdrL,101.125,1.797777778
earlylog,cdrL,192,3.413333333
earlylog,cdrL,1673.75,29.75555556
earlylog,cdrL,647.625,11.51333333
earlylog,cdrL,1367.125,24.30444444
earlylog,cdrL,2083,37.03111111
earlylog,cdrL,4321.75,76.83111111
earlylog,cdrL,433.625,7.708888889
earlylog,cdrL,573.375,10.19333333
earlylog,cdrL,572.625,10.18
earlylog,cdrL,269.5,4.791111111
earlylog,cdrL,226.5,4.026666667
earlylog,cdrL,2216.125,39.39777778
earlylog,cdrL,393.25,6.991111111
earlylog,cdrL,648.625,11.53111111
earlylog,cdrL,267.5,4.755555556
earlylog,cdrL,104.75,1.862222222
earlylog,cdrL,311.125,5.531111111
earlylog,cdrL,275,4.888888889
earlylog,cdrL,1372.375,24.39777778
earlylog,cdrL,2079.625,36.97111111
earlylog,cdrL,325,5.777777778
earlylog,cdrL,458.625,8.153333333
earlylog,cdrL,151.75,2.697777778
earlylog,cdrL,2445.25,43.47111111
earlylog,cdrL,447.25,7.951111111
earlylog,cdrL,854,15.18222222
earlylog,cdrL,1368.125,24.32222222
earlylog,cdrL,1178.875,20.95777778
earlylog,cdrL,318.625,5.664444444
earlylog,cdrL,466.25,8.288888889
earlylog,cdrL,910.375,16.18444444
earlylog,cdrL,1384.625,24.61555556
earlylog,cdrL,114.25,2.031111111
earlylog,ftsZ2,2064.125,36.69555556
earlylog,ftsZ2,549.5,9.768888889
earlylog,ftsZ2,738.375,13.12666667
earlylog,ftsZ2,113.875,2.024444444
earlylog,ftsZ2,1097.125,19.50444444
earlylog,ftsZ2,2450.875,43.57111111
earlylog,ftsZ2,463.625,8.242222222
earlylog,ftsZ2,457.25,8.128888889
earlylog,ftsZ2,1409,25.04888889
earlylog,ftsZ2,1649.625,29.32666667
earlylog,ftsZ2,494.25,8.786666667
earlylog,ftsZ2,829.25,14.74222222
earlylog,ftsZ2,276.125,4.908888889
earlylog,ftsZ2,208,3.697777778
earlylog,ftsZ2,1669.375,29.67777778
earlylog,ftsZ2,172.5,3.066666667
earlylog,ftsZ2,958.875,17.04666667
earlylog,ftsZ2,1486.125,26.42
earlylog,ftsZ2,130.625,2.322222222
earlylog,ftsZ2,1578.5,28.06222222
earlylog,ftsZ2,530.375,9.428888889
earlylog,ftsZ2,965.5,17.16444444
earlylog,ftsZ2,233.25,4.146666667
earlylog,ftsZ2,899.25,15.98666667
earlylog,ftsZ2,493.375,8.771111111
earlylog,ftsZ2,3052.625,54.26888889
earlylog,ftsZ2,302.625,5.38
earlylog,ftsZ2,907.75,16.13777778
earlylog,ftsZ2,960.125,17.06888889
earlylog,ftsZ2,262.125,4.66
