Experiment,Threshold,Strain,Replicate,Area_px,Circularity,Length_px,Area_micron,Length_micron
20170601,-5,EV,B,100.07031,0.982797,12.429721,1.779027733,1.657296133
20170601,-5,EV,B,69.484375,0.9897979,9.93979,1.235277778,1.325305333
20170601,-5,EV,B,175.21875,0.93660545,18.283804,3.115,2.437840533
20170601,-5,EV,B,136.35938,0.958915,15.50652,2.424166756,2.067536
20170601,-5,EV,B,166.73438,0.93597984,17.529764,2.964166756,2.337301867
20170601,-5,EV,B,118.5,0.94223386,14.825195,2.106666667,1.976692667
20170601,-5,EV,B,120.74219,0.9645867,14.242002,2.146527822,1.8989336
20170601,-5,EV,B,183.34375,0.9328898,18.64188,3.259444444,2.485584
20170601,-5,EV,B,134.5,0.9821957,14.302455,2.391111111,1.906994
20170601,-5,EV,B,439.84375,0.9448883,25.928543,7.819444444,3.457139067
20170601,-5,EV,B,168.75,0.5019112,17.10263,3,2.280350667
20170601,-5,EV,B,213.08008,0.9793928,18.012814,3.788090311,2.401708533
20170601,-5,EV,B,143.52539,0.99062306,14.011943,2.551562489,1.868259067
20170601,-5,EV,B,334.6953,0.95056516,24.035667,5.950138667,3.2047556
20170601,-5,EV,B,216.46875,0.97402954,18.480904,3.848333333,2.464120533
20170601,-5,EV,B,295.3418,0.97689134,21.305237,5.250520889,2.840698267
20170601,-5,EV,B,429.01172,0.9809411,25.300028,7.626875022,3.373337067
20170601,-5,EV,B,358.833,0.91986156,25.941534,6.379253333,3.4588712
20170601,-5,EV,B,194.03906,0.96558774,17.993109,3.449583289,2.3990812
20170601,-5,EV,B,172.26953,0.9855096,16.18564,3.062569422,2.158085333
20170601,-5,EV,B,177.33594,0.9894676,15.708158,3.152638933,2.094421067
20170601,-5,EV,B,173.84375,0.9935125,15.491269,3.090555556,2.065502533
20170601,-5,EV,B,190.78125,0.9817909,16.729935,3.391666667,2.230658
20170601,-5,EV,B,188.07812,0.9871291,16.634752,3.343611022,2.217966933
20170601,-5,EV,B,190.24219,0.99438304,15.991795,3.382083378,2.132239333
20170601,-5,EV,B,227.73438,0.9839626,18.064735,4.0486112,2.408631333
20170601,-5,EV,B,305.40625,0.94502187,22.833376,5.429444444,3.044450133
20170601,-5,EV,B,295.14062,0.9645115,22.261547,5.246944356,2.968206267
20170601,-5,EV,B,169.20312,0.98704404,15.766039,3.008055467,2.102138533
20170601,-5,EV,B,332.53125,0.9282246,25.277903,5.911666667,3.370387067
20170601,-5,EV,B,321.65625,0.9700028,21.932056,5.718333333,2.924274133
20170601,-5,EV,B,319.09375,0.9326854,24.929232,5.672777778,3.3238976
20170601,-5,EV,B,298.54688,0.9929136,20.336016,5.307500089,2.7114688
20170601,-5,EV,B,263.59375,0.9613037,20.451172,4.686111111,2.726822933
