Strain,Label,Area_px,Area_micron,Length_px,Length_micron
ura3,ura3B,1644.0156,4.110039,90.44888,4.522444
ura3,ura3B,2053.8438,5.1346095,118.595955,5.92979775
ura3,ura3B,1292.5469,3.23136725,68.18358,3.409179
ura3,ura3B,1617.1719,4.04292975,78.26238,3.913119
ura3,ura3B,2230.1406,5.5753515,118.473625,5.92368125
ura3,ura3B,1623.5,4.05875,67.6757,3.383785
ura3,ura3B,2216.0625,5.54015625,97.144226,4.8572113
ura3,ura3B,2661.5625,6.65390625,140.16063,7.0080315
ura3,ura3B,1404.5781,3.51144525,68.44706,3.422353
ura3,ura3B,726.15625,1.815390625,39.92493,1.9962465
ura3,ura3B,863.0781,2.15769525,51.86521,2.5932605
ura3,ura3B,1429.1562,3.5728905,60.74537,3.0372685
ura3,ura3B,5051.9375,12.62984375,283.28253,14.1641265
ura3,ura3B,1186.0723,2.96518075,65.459915,3.27299575
ura3,ura3B,2674.1,6.68525,151.55856,7.577928
ura3,ura3B,1520.127,3.8003175,104.0865,5.204325
ura3,ura3B,3517.1387,8.79284675,203.73512,10.186756
ura3,ura3B,937.41797,2.343544925,76.55064,3.827532
ura3,ura3B,5970.6875,14.92671875,333.44415,16.6722075
ura3,ura3B,2151.1016,5.377754,72.00694,3.600347
ura3,ura3B,2426.211,6.0655275,140.45996,7.022998
ura3,ura3B,2186,5.465,113.81125,5.6905625
ura3,ura3B,2348.461,5.8711525,111.15755,5.5578775
ura3,ura3B,1883.0625,4.70765625,83.21658,4.160829
ura3,ura3B,1956.2812,4.890703,116.61904,5.830952
ura3,ura3B,6529.336,16.32334,351.5409,17.577045
ura3,ura3B,2109.8203,5.27455075,117.47766,5.873883
ura3,ura3B,1453.6719,3.63417975,74.215904,3.7107952
ura3,ura3B,1495.75,3.739375,50.219517,2.51097585
ura3,ura3B,1007.5,2.51875,57.201397,2.86006985
ura3,ura3B,1443.8125,3.60953125,88.005684,4.4002842
ura3,ura3B,1826.2812,4.565703,91.04944,4.552472
ura3,ura3B,2279.3398,5.6983495,162.99693,8.1498465
